,moves,year_id,month,day,road_type_id,road_desc,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,avg_speed_bin_id,avg_bin_speed,avg_speed_bin_desc,rate_per_distance,per_diff
121,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,13,60.0,57.5mph <= speed < 62.5mph,0.0015946458999999999,-48.31
122,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,14,65.0,62.5mph <= speed < 67.5mph,0.0033176505,-47.9
123,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,14,65.0,62.5mph <= speed < 67.5mph,0.0017285587,-47.9
124,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,15,70.0,67.5mph <= speed < 72.5mph,0.0037254974,-47.62
125,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,15,70.0,67.5mph <= speed < 72.5mph,0.0019513872,-47.62
126,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,16,75.0,72.5mph <= speed,0.004519509099999999,-47.23
127,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,16,75.0,72.5mph <= speed,0.002385049,-47.23
128,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,1,2.5,speed < 2.5mph,0.015826507,-51.38
129,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,1,2.5,speed < 2.5mph,0.0076943362000000005,-51.38
130,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,2,5.0,2.5mph <= speed < 7.5mph,0.0093560343,-50.44
131,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,2,5.0,2.5mph <= speed < 7.5mph,0.0046366487999999996,-50.44
132,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,3,10.0,7.5mph <= speed < 12.5mph,0.0057659213,-49.56
